cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_comercio
337;2003;2003m03;Sapucaia;3305406;Interior;0
338;2003;2003m03;Teresópolis;3305802;Interior;1
339;2003;2003m03;Sumidouro;3305703;Interior;0
340;2003;2003m03;Carmo;3301207;Interior;0
341;2003;2003m03;Araruama;3300209;Interior;4
342;2003;2003m03;Rio Bonito;3304300;Interior;1
343;2003;2003m03;Silva Jardim;3305604;Interior;2
344;2003;2003m03;Casimiro de Abreu;3301306;Interior;1
345;2003;2003m03;Conceição de Macabú;3301405;Interior;1
346;2003;2003m03;"Macaé;Quissamã;Carapebus";9999984;Interior;4
347;2003;2003m03;Saquarema;3305505;Interior;1
348;2003;2003m03;São Pedro da Aldeia;3305208;Interior;4
349;2003;2003m03;"Cabo Frio;Arraial do Cabo";9999985;Interior;9
350;2003;2003m03;Armação dos Búzios;3300233;Interior;1
351;2003;2003m03;Rio das Ostras;3304524;Interior;2
352;2003;2003m03;Iguaba Grande;3301876;Interior;1
353;2003;2003m03;Campos dos Goytacazes;3301009;Interior;15
354;2003;2003m03;Itaocara;3302106;Interior;0
355;2003;2003m03;"Santo Antônio de Pádua;Aperibé";9999993;Interior;2
356;2003;2003m03;Miracema;3303005;Interior;0
357;2003;2003m03;Laje do Muriaé;3302304;Interior;0
358;2003;2003m03;Porciúncula;3304102;Interior;0
359;2003;2003m03;"Natividade;Varre-Sai";9999997;Interior;0
360;2003;2003m03;São Fidélis;3304805;Interior;1
361;2003;2003m03;Cambuci;3300902;Interior;0
362;2003;2003m03;"Itaperuna;São José de Ubá;Cardoso Moreira;Italva";9999986;Interior;1
363;2003;2003m03;Bom Jesus de Itabapoana;3300605;Interior;0
364;2003;2003m03;São João da Barra;3305000;Interior;1
365;2003;2003m03;"Campos dos Goytacazes;São Francisco de Itabapoana";9999987;Interior;5
366;2003;2003m03;Nova Friburgo;3303401;Interior;1
367;2003;2003m03;Duas Barras;3301603;Interior;1
368;2003;2003m03;Cantagalo;3301108;Interior;1
369;2003;2003m03;"Cordeiro;Macuco";9999998;Interior;0
370;2003;2003m03;São Sebastião do Alto;3305307;Interior;0
371;2003;2003m03;Santa Maria Madalena;3304607;Interior;0
372;2003;2003m03;Trajano de Morais;3305901;Interior;0
373;2003;2003m03;Bom Jardim;3300506;Interior;0
374;2003;2003m03;Cachoeiras de Macacu;3300803;Interior;1
375;2003;2003m03;Mangaratiba;3302601;Interior;0
376;2003;2003m03;Angra dos Reis;3300100;Interior;3
377;2003;2003m03;Paraty;3303807;Interior;2
378;2003;2003m03;Rio Claro;3304409;Interior;0
