cod_ocorrencia;ano;mes_ano;munic;mcirc;regiao;roubo_rua
285;2003;2003m03;Rio de Janeiro;3304557;Capital;51
286;2003;2003m03;Rio de Janeiro;3304557;Capital;40
287;2003;2003m03;Rio de Janeiro;3304557;Capital;105
288;2003;2003m03;Rio de Janeiro;3304557;Capital;47
289;2003;2003m03;Rio de Janeiro;3304557;Capital;40
290;2003;2003m03;Rio de Janeiro;3304557;Capital;34
291;2003;2003m03;Seropédica;3305554;Baixada Fluminense;1
292;2003;2003m03;Itaguaí;3302007;Baixada Fluminense;7
293;2003;2003m03;Paracambi;3303609;Baixada Fluminense;2
294;2003;2003m03;Nova Iguaçu;3303500;Baixada Fluminense;57
295;2003;2003m03;Mesquita;3302858;Baixada Fluminense;33
296;2003;2003m03;Belford Roxo;3300456;Baixada Fluminense;28
297;2003;2003m03;"Queimados;Japeri";9999981;Baixada Fluminense;16
298;2003;2003m03;Nova Iguaçu;3303500;Baixada Fluminense;21
299;2003;2003m03;Nilópolis;3303203;Baixada Fluminense;37
300;2003;2003m03;Nova Iguaçu;3303500;Baixada Fluminense;28
301;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;123
302;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;29
303;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;3
304;2003;2003m03;Duque de Caxias;3301702;Baixada Fluminense;14
305;2003;2003m03;São João de Meriti;3305109;Baixada Fluminense;45
306;2003;2003m03;"Magé;Guapimirim";9999982;Baixada Fluminense;14
307;2003;2003m03;Magé;3302502;Baixada Fluminense;7
308;2003;2003m03;"Itaboraí;Tanguá";9999983;Interior;39
309;2003;2003m03;São Gonçalo;3304904;Grande Niterói;56
310;2003;2003m03;São Gonçalo;3304904;Grande Niterói;35
311;2003;2003m03;São Gonçalo;3304904;Grande Niterói;84
312;2003;2003m03;São Gonçalo;3304904;Grande Niterói;14
313;2003;2003m03;Niterói;3303302;Grande Niterói;106
314;2003;2003m03;Niterói;3303302;Grande Niterói;47
315;2003;2003m03;Niterói;3303302;Grande Niterói;45
316;2003;2003m03;Niterói;3303302;Grande Niterói;16
317;2003;2003m03;Niterói;3303302;Grande Niterói;10
318;2003;2003m03;Maricá;3302700;Grande Niterói;6
319;2003;2003m03;Barra do Pirai;3300308;Interior;3
320;2003;2003m03;Resende;3304201;Interior;16
321;2003;2003m03;Barra Mansa;3300407;Interior;12
322;2003;2003m03;Valença;3306107;Interior;0
323;2003;2003m03;Rio das Flores;3304508;Interior;0
324;2003;2003m03;Volta Redonda;3306305;Interior;20
325;2003;2003m03;"Piraí;Pinheiral";9999988;Interior;0
326;2003;2003m03;Vassouras;3306206;Interior;1
327;2003;2003m03;"Miguel Pereira;Paty dos Alferes";9999999;Interior;0
328;2003;2003m03;Mendes;3302809;Interior;1
329;2003;2003m03;Engenheiro Paulo de Frontin;3301801;Interior;1
330;2003;2003m03;Itatiaia;3302254;Interior;3
331;2003;2003m03;"Porto Real;Quatis";9999992;Interior;2
332;2003;2003m03;São José do Vale do Rio Preto;3305158;Interior;1
333;2003;2003m03;Petrópolis;3303906;Interior;19
334;2003;2003m03;Petrópolis;3303906;Interior;6
335;2003;2003m03;Paraíba do Sul;3303708;Interior;0
336;2003;2003m03;"Comendador Levy Gasparian;Areal;Três Rios";9999991;Interior;15
337;2003;2003m03;Sapucaia;3305406;Interior;0
338;2003;2003m03;Teresópolis;3305802;Interior;6
339;2003;2003m03;Sumidouro;3305703;Interior;0
340;2003;2003m03;Carmo;3301207;Interior;0
341;2003;2003m03;Araruama;3300209;Interior;5
342;2003;2003m03;Rio Bonito;3304300;Interior;6
343;2003;2003m03;Silva Jardim;3305604;Interior;1
344;2003;2003m03;Casimiro de Abreu;3301306;Interior;0
345;2003;2003m03;Conceição de Macabú;3301405;Interior;1
346;2003;2003m03;"Macaé;Quissamã;Carapebus";9999984;Interior;12
347;2003;2003m03;Saquarema;3305505;Interior;8
348;2003;2003m03;São Pedro da Aldeia;3305208;Interior;4
